Example	Website or web page giving email address	Xtal,Rxn,QM,MD,Cheminf,Viewer,Draw,Dock	New Category	Open Source/Freeware/Free for Academics/Shareware/Commercial	OS License Type	Description that contains full sentences.	Comments
2D	http://www.leiflaaksonen.eu/num2d.html	QM		Open Source	GPL, Fortran	2D is a numerical Hartree-Fock program for diatomic molecules.	
ABINIT	http://www.abinit.org/	QM		Open Source	GPL, Fortran	ABINIT is a package whose main program allows one to find the total energy, charge density and electronic structure of systems made of electrons and nuclei (molecules and periodic solids) within Density Functional Theory (DFT), using pseudopotentials and a planewave basis. Excited states can be computed within the Time-Dependent Density Functional Theory (for molecules), or within Many-Body Perturbation Theory (the GW approximation).	
ADF	http://www.scm.com/	QM		Commercial		ADF is the Amsterdam Density Functional program system for high-quality computational chemistry research. The two main programs are ADF, for molecules, and BAND for periodic structures: polymers, slabs, and crystals. Several smaller utility and property programs are available for pre- and post-processing data of the main calculations.	
Almond	http://www.moldiscovery.com/soft_almond.php	Cheminf		Commercial		ALMOND is a program specifically developed for generating and handling alignment independent descriptors called GRIND (GRid INdependent Descriptors). These are a new generation of 3D-molecular descriptors with application in 3D-QSAR, QSAR, virtual screening, design of combinatorial libraries, selectivity studies and in any field where 3D quantitative pharmacophoric description for (macro)molecules is needed.	
ALOGPS	http://vcclab.org/lab/alogps	Cheminf		Free for academics		ALOGPS provides prediction of logP and aqueous solubility of compounds to be used in drug design (ADMET and HTS) and environmental chemistry studies. The ALOGPS program can be also used to predict logD values.	
AmberFFC	http://www.u-picardie.fr/labo/lbpd/AmberFFC/	MD		Free for academics		AmberFFC is designed to convert the different existing AMBER force fields (FF) freely available in the public domain, for use with commercial molecular modeling packages, using the MSI software package as a case model.	
AMMP	http://www.cs.gsu.edu/~cscrwh/ammp/ammp.html	MD, MM		Open Source	GPL, C	AMMP is a modern full-featured molecular mechanics, dynamics and modeling program. It can manipulate both small molecules and macromolecules including proteins, nucleic acids and other polymers. In addition to standard features, like numerically stable molecular dynamics, fast multipole method for including all atoms in the calculation of long range potentials and robust structural optimizers, it has a flexible choice of potentials and a simple yet powerful ability to manipulate molecules and analyze individual energy terms.	
AMPAC with GUI	http://www.semichem.com/	QM		Commercial		AMPAC is a fully-featured semiempirical QM program. It also includes a graphical user interface (GUI) that builds molecules and offers full visualization of results.	
AQUA	http://tang.bmrb.wisc.edu/~jurgen/aqua/	NMR		Freeware		AQUA is a suite of programs for Analyzing the QUAlity of biomolecular structures that were determined via NMR spectroscopy. AQUA is capable of calculating NOE violations, the level of completeness of NOEs based on the structure.	
ASAD	http://www.atm.ch.cam.ac.uk/acmsu/asad/index.html	Rxn		Freeware		ASAD is a software package developed for creating and integrating chemistry schemes in atmospheric models without the need to write any FORTRAN code to solve the chemical rate equations.	
Ascalaph Quantum	http://www.biomolecular-modeling.com/Ascalaph/Ascalaph_Quantum.html	QM, MM, Viewer		Open Source	GPL, C++	Ascalaph Quantum is a GUI for preparing molecular mechanics calculations. It also provides an interface to PC GAMESS, NWChem and CP2K.	
Atomistix ToolKit	http://www.quantumwise.com/products	QM	Nanostructures	Commercial		Atomistix ToolKit, ATK, is a first principles electronic structure program capable of modeling electrical properties of nanostructured systems coupled to semi-infinite electrodes (using non-equilibrium Green's functions). The key features are calculation of electrical properties of nanoscale devices, access to advanced DFT algorithms, support for molecular systems, bulk and periodic systems, and two probe systems. In addition there is a Python-based scripting environment.	
AutoAssign	http://www-nmr.cabm.rutgers.edu/NMRsoftware/nmr_software.html	NMR	Enzyme	Free for academics		AutoAssign is a constraint-based expert system for automating the analysis of backbone resonance assignments using NMR spectra of small proteins.	
AutoDock	http://autodock.scripps.edu/	Dock		Open Source	GPL, C++	AutoDock is a suite of automated docking tools. It is designed to predict how small molecules, such as substrates or drug candidates, bind to a receptor of known 3D structure. Search methods include evolutionary methods such as the Lamarckian Genetic Algorithm, in addition to the Monte Carlo simulated annealing (SA) method.	
Avogadro	http://avogadro.openmolecules.net	QM, MM, Viewer		Open Source	GPL, C++	Avogadro is an advanced molecular editor designed for cross-platform use in computational chemistry, molecular modeling, bioinformatics, materials science, and related areas. It offers a flexible rendering engine and a powerful plugin architecture.	
Babel	http://smog.com/chem/babel/	Cheminf		Freeware		Babel is a program designed to interconvert a number of file formats used in molecular modeling. Babel is capable of assigning hybridization, bond order, and connectivity when these elements are not present in the input file.	
BallView	http://www.ball-project.org/	Viewer, MM, MD		Open Source	GPL, C++	BallView is a cross-platform molecular visualization tool with support for molecular mechanics optimisation, molecular dynamics and molecular editing. It supports a large number of file formats, SMILES and SMARTS, as well as forcefields such as Amber, MMFF94 and Charmm. Its capabilities also include realtime raytracing and stereoscopic viewing. Actions can be automated using Python scripts.	
B-BOP	http://staff.aist.go.jp/t-ozaki/b-bop/b-bop.html	QM, MD	Materials	Open Source	GPL, C	B-BOP (Block Bond-Order Potential method) is a program for performing O(N) tight-binding (TB) calculations of molecules and bulks, based on block bond-order potential method within semi-empirical TB models. Molecular dynamics (MD) simulations for the NEV ensemble and the geometry optimization by the steepest decent (SD) method can be performed.	
BIGMAC	http://molsim.chem.uva.nl/bigmac/	Thermo		Open Source	GPL, Fortran	BIGMAC stands for Beyond Impressive Goals of Mechanical Artificial Computations. It uses Configurational Bias Monte Carlo (CBMC) to compute thermodynamic properties of flexible molecules. It has been used to study the adsorption behavior of linear and branched alkanes in zeolites and the vapour-liquid equilibrium of linear and branched alkanes.	
Bioclipse	http://bioclipse.net	Cheminf		Open Source	Eclipse Public License, Java	Bioclipse is a Java-based visual platform for chemo- and bioinformatics with a plugin architecture that currently includes plugins for the CDK and Jmol.	
